#OTU ID,24-S1-nc.blast,24-S2-nc.blast,24-S3-nc.blast,24-S4-nc.blast,24-S5-nc.blast,24-blank-nc.blast,BL3-S1-nc.blast,BL3-S2-nc.blast,BL3-S3-nc.blast,BL3-S5-nc.blast,BL3-blank-nc.blast,SG1-S1-nc.blast,SG1-S2-nc.blast,SG1-S3-nc.blast,SG1-S4-nc.blast,SG1-S5-nc.blast,SG1-blank-nc.blast,SG10-S1-nc.blast,SG10-S2-nc.blast,SG10-S3-nc.blast,SG10-S4-nc.blast,SG10-S5-nc.blast,SG10-blank-nc.blast,SG2-S1-nc.blast,SG2-S2-nc.blast,SG2-S3-nc.blast,SG2-S4-nc.blast,SG2-S5-nc.blast,SG2-blank-nc.blast,SG21-S1-nc.blast,SG21-S2-nc.blast,SG21-S3-nc.blast,SG21-S4-nc.blast,SG21-blank-nc.blast,SG22-S1-nc.blast,SG22-S2-nc.blast,SG22-S3-nc.blast,SG22-S4-nc.blast,SG22-S5-nc.blast,SG22-blank-nc.blast,SG23-S1-nc.blast,SG23-S2-nc.blast,SG23-S3-nc.blast,SG23-S4-nc.blast,SG23-S5-nc.blast,SG23-blank-nc.blast,SG5-S1-nc.blast,SG5-S2-nc.blast,SG5-S3-nc.blast,SG5-S4-nc.blast,SG5-S5-nc.blast,SG5-blank-nc.blast,SG7-S1-nc.blast,SG7-S2-nc.blast,SG7-S3-nc.blast,SG7-S4-nc.blast,SG7-S5-nc.blast,SG7-blank-nc.blast,SG8-S1-nc.blast,SG8-S2-nc.blast,SG8-S3-nc.blast,SG8-S4-nc.blast,SG8-S5-nc.blast,SG8-blank-nc.blast,SG9-S1-nc.blast,SG9-S2-nc.blast,SG9-S3-nc.blast,SG9-S4-nc.blast,SG9-S5-nc.blast,SG9-blank-nc.blast,W13-S1-nc.blast,W13-S2-nc.blast,W13-S3-nc.blast,W13-S4-nc.blast,W13-S5-nc.blast,W13-blank-nc.blast,W14-S1-nc.blast,W14-S2-nc.blast,W14-S3-nc.blast,W14-S4-nc.blast,W14-S5-nc.blast,W14-blank-nc.blast,W15-S1-nc.blast,W15-S2-nc.blast,W15-S3-nc.blast,W15-S4-nc.blast,W15-S5-nc.blast,W15-blank-nc.blast,W17-S1-nc.blast,W17-S2-nc.blast,W17-S3-nc.blast,W17-S4-nc.blast,W17-S5-nc.blast,W17-blank-nc.blast,W18-S1-nc.blast,W18-S2-nc.blast,W18-S3-nc.blast,W18-S4-nc.blast,W18-S5-nc.blast,W18-blank-nc.blast,neg1-nc.blast,neg2-nc.blast,neg3-nc.blast,pos1-nc.blast,pos2-nc.blast,pos3-nc.blast,taxomomy
Barbatula_barbatula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,57,92,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Nemacheilidae', 'g__Barbatula', 's__Barbatula_barbatula']"
Esox_lucius,2605,3311,2217,2255,1924,0,0,0,0,0,0,0,0,0,0,6,0,1187,1440,719,433,1578,0,0,2595,0,0,190,0,0,0,0,0,0,8637,14082,17230,4354,7196,0,1239,1516,2348,2753,0,0,1244,11996,3231,1213,2417,0,3446,12267,7412,1669,3414,0,7160,9618,2406,1990,3215,5,0,1429,1855,1839,5368,0,671,9528,4647,4388,10330,0,3597,3921,210,1771,9602,0,8161,2722,6655,5521,7110,0,12990,24979,38168,8074,1929,0,10411,2080,3896,2384,3050,0,6,0,0,12,0,59,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Esocidae', 'g__Esox', 's__Esox_lucius']"
Pomatoschistus_minutus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Gobiiformes', 'f__Gobiidae', 'g__Pomatoschistus', 's__Pomatoschistus_minutus']"
Osmerus_eperlanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,137,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Osmeriformes', 'f__Osmeridae', 'g__Osmerus', 's__Osmerus_eperlanus']"
Cottus_gobio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,1471,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Cottidae', 'g__Cottus', 's__Cottus_gobio']"
Gasterosteus_aculeatus,458,302,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,844,179,0,0,0,0,0,0,0,0,0,81,0,0,0,324,1454,235,0,0,0,1138,294,714,0,109,0,0,0,0,0,0,0,178,826,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Gasterosteus', 's__Gasterosteus_aculeatus']"
Pungitius_pungitius,247,0,64,271,193,0,0,0,0,0,0,0,0,0,0,0,0,1232,3360,1029,3381,905,0,0,0,0,0,0,0,0,0,0,57,0,1503,0,313,0,434,0,0,0,0,0,0,0,933,485,580,0,207,0,675,344,0,135,392,0,384,0,65,0,122,0,0,0,0,0,0,0,683,2041,512,2917,2952,0,0,0,0,0,0,0,677,540,799,757,0,0,432,1732,140,1082,12,0,1579,952,1024,3015,1501,0,0,0,3,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Pungitius', 's__Pungitius_pungitius']"
Gymnocephalus_cernua,2286,683,436,206,1050,0,0,0,96,253,0,3,0,0,0,1257,0,586,29,346,455,25,0,170,0,2672,1243,221,0,0,347,1493,383,0,0,0,0,0,0,0,2387,2339,1597,266,0,0,1023,2709,1995,736,552,0,7013,4807,2860,419,1334,0,880,1568,129,273,553,0,979,706,1030,856,2934,0,0,0,145,0,0,0,3217,1454,1023,1601,0,0,641,160,282,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,8,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae', 'g__Gymnocephalus', 's__Gymnocephalus_cernua']"
Platichthys_flesus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Pleuronectiformes', 'f__Pleuronectidae', 'g__Platichthys', 's__Platichthys_flesus']"
Oncorhynchus_mykiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Oncorhynchus', 's__Oncorhynchus_mykiss']"
Salmo_trutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_trutta']"
Lampetra_fluviatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__unknown', 'o__Petromyzontiformes', 'f__Petromyzontidae', 'g__Lampetra', 's__Lampetra_fluviatilis']"
