,Anguilla_anguilla,Abramis_brama,Alburnus_alburnus,Blicca_bjoerkna,Carassius_auratus,Cyprinus_carpio,Leuciscus_idus,Leuciscus_leuciscus,Rhodeus_amarus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,Barbatula_barbatula,Esox_lucius,Osmerus_eperlanus,Cottus_gobio,Gasterosteus_aculeatus,Pungitius_pungitius,Gymnocephalus_cernua,Platichthys_flesus,Oncorhynchus_mykiss,Lampetra,Perca_fluviatilis,Cobitis_taenia
SG8.blank,0,0,0,0,0,0,0,0,0,25,0,3,0,0,5,0,0,0,0,0,0,0,0,12,0
SG9.S1,0,2330,0,0,0,0,0,0,0,12612,2375,0,91,0,0,0,0,115,0,979,0,0,0,7441,0
SG9.S2,279,6678,0,482,0,0,0,0,0,33041,3319,0,4449,0,1429,0,0,0,0,706,0,0,0,12094,0
SG9.S3,0,10316,0,900,0,0,0,0,0,34211,5338,0,1037,0,1855,0,0,0,0,1030,0,0,0,10836,0
SG9.S4,0,4806,0,439,0,0,0,0,0,27241,3595,0,6219,0,1839,0,0,0,0,856,0,0,0,7850,0
SG9.S5,623,27022,0,3605,0,0,0,0,0,83175,13048,0,9769,0,5368,0,0,0,0,2934,0,0,0,21740,0
SG9.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W13.S1,0,0,0,0,0,0,0,0,0,486,88,0,85,0,671,0,0,0,683,0,0,0,0,600,63
W13.S2,0,263,0,0,0,0,0,0,0,6512,0,0,3186,261,9528,0,0,0,2041,0,0,0,0,3447,0
W13.S3,224,361,0,0,0,0,0,0,0,7685,925,0,1576,0,4647,0,0,0,512,145,0,0,0,2851,445
W13.S4,0,2143,0,0,0,0,0,0,0,35533,950,0,4995,0,4388,0,0,0,2917,0,0,0,0,6985,0
W13.S5,0,972,0,0,0,0,0,0,0,16554,2108,0,2766,0,10330,0,0,0,2952,0,0,0,0,13658,0
W13.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W14.S1,0,28732,0,0,0,0,0,0,0,252,0,0,1603,0,3597,0,0,0,0,3217,0,0,0,10971,0
W14.S2,0,19274,0,0,0,0,0,0,0,834,376,0,2619,0,3921,0,0,0,0,1454,0,0,0,5945,0
W14.S3,0,10098,0,0,0,0,0,0,0,5093,130,0,155,0,210,0,0,0,0,1023,0,0,0,4757,0
W14.S4,0,12621,0,0,0,0,0,0,0,571,0,0,0,0,1771,0,0,0,0,1601,0,0,0,8037,0
W14.S5,391,31034,294,0,0,0,0,0,0,289,0,0,965,0,9602,0,0,0,0,0,0,0,88,8687,0
W14.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W15.S1,11356,1392,0,0,0,0,0,0,0,4108,2447,0,4791,0,8161,0,0,0,677,641,0,0,0,7086,0
W15.S2,7313,1148,0,0,0,0,0,0,0,6092,1737,0,3393,0,2722,0,0,0,540,160,0,0,0,3025,0
W15.S3,4923,1531,0,0,0,0,0,0,0,1291,663,0,4647,0,6655,0,0,0,799,282,0,0,0,8605,0
W15.S4,3801,3225,0,0,0,0,0,0,0,6014,3128,0,4902,0,5521,0,0,0,757,768,0,0,0,6045,300
W15.S5,806,2251,0,0,0,0,0,0,0,2581,1492,0,4082,0,7110,0,0,0,0,0,0,0,0,6781,0
W15.blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W17.S1,0,2560,0,0,0,0,0,0,0,45459,11065,0,4358,0,12990,0,0,0,432,0,0,0,0,25968,1223
W17.S2,0,4469,0,0,0,0,0,0,0,138780,24810,0,1156,0,24979,0,0,0,1732,0,0,0,0,41049,982
W17.S3,0,1211,0,0,0,0,0,0,0,10566,3727,0,2662,0,38168,0,0,0,140,0,0,0,0,44370,1838
W17.S4,0,324,0,0,0,0,0,0,0,10026,2060,0,2037,0,8074,0,0,0,1082,0,0,0,0,42288,872
