SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
SG23-blank	12S	SRR12232434	SAMN15541265	PRJNA646357
pos2	12S	SRR12232433	SAMN15541266	PRJNA646357
neg2	12S	SRR12232432	SAMN15541267	PRJNA646357
24-S1	12S	SRR12232536	SAMN15541268	PRJNA646357
24-S2	12S	SRR12232535	SAMN15541269	PRJNA646357
24-S3	12S	SRR12232534	SAMN15541270	PRJNA646357
24-S4	12S	SRR12232533	SAMN15541271	PRJNA646357
24-S5	12S	SRR12232532	SAMN15541272	PRJNA646357
24-blank	12S	SRR12232531	SAMN15541273	PRJNA646357
pos3	12S	SRR12232530	SAMN15541274	PRJNA646357
neg3	12S	SRR12232529	SAMN15541275	PRJNA646357
